DATE;LIEU;ADVERSAIRE;SCORE_MS;SCORE_ADV;WIN;ROUND
2024-09-14;EXT;LA-CHARITE;65;101;NO;1
2024-09-21;DOM;POLIGNY;88;86;YES;2
2024-09-28;EXT;TARARE;83;87;NO;3
2024-10-05;DOM;RHONE-SUD;72;81;NO;4
2024-10-12;EXT;TAIN;83;87;NO;5
2024-10-26;DOM;MONTELIMAR;105;97;YES;6
2024-11-02;EXT;PRISSE-MACON;86;94;NO;7
2024-11-09;DOM;AGDE;79;80;NO;8
2024-11-16;EXT;MONTMOROT;84;99;NO;9
2024-11-30;DOM;CLAR;112;74;YES;10
2024-12-07;EXT;ANDREZIEUX;78;87;NO;11
2024-12-14;EXT;CASTELNAU;72;85;NO;12
2025-01-11;EXT;TOULOUGES;100;92;NO;13
2025-02-01;DOM;LA-CHARITE;104;90;YES;14
2025-02-08;EXT;POLIGNY;85;72;YES;15
2025-02-22;DOM;TARARE;83;78;YES;16
2025-03-01;EXT;RHONE-SUD;80;75;YES;17
2025-03-08;DOM;TAIN;82;78;YES;18
2025-03-22;EXT;MONTELIMAR;80;104;NO;19
2025-03-29;DOM;PRISSE-MACON;91;69;YES;20
2025-04-05;EXT;AGDE;83;88;NO;21
2025-04-12;DOM;MONTMOROT;90;79;YES;22
2025-04-19;EXT;CLAR;91;88;YES;23